,Country,Continent,Region,DevName
0,Afghanistan,Asia,Southern Asia,Developing regions
1,Albania,Europe,Southern Europe,Developed regions
2,Algeria,Africa,Northern Africa,Developing regions
3,American Samoa,Oceania,Polynesia,Developing regions
4,Andorra,Europe,Southern Europe,Developed regions
5,Angola,Africa,Middle Africa,Developing regions
6,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,Developing regions
7,Argentina,Latin America and the Caribbean,South America,Developing regions
8,Armenia,Asia,Western Asia,Developing regions
9,Australia,Oceania,Australia and New Zealand,Developed regions
10,Austria,Europe,Western Europe,Developed regions
11,Azerbaijan,Asia,Western Asia,Developing regions
12,Bahamas,Latin America and the Caribbean,Caribbean,Developing regions
13,Bahrain,Asia,Western Asia,Developing regions
14,Bangladesh,Asia,Southern Asia,Developing regions
15,Barbados,Latin America and the Caribbean,Caribbean,Developing regions
16,Belarus,Europe,Eastern Europe,Developed regions
17,Belgium,Europe,Western Europe,Developed regions
18,Belize,Latin America and the Caribbean,Central America,Developing regions
19,Benin,Africa,Western Africa,Developing regions
20,Bhutan,Asia,Southern Asia,Developing regions
21,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,Developing regions
22,Bosnia and Herzegovina,Europe,Southern Europe,Developed regions
23,Botswana,Africa,Southern Africa,Developing regions
24,Brazil,Latin America and the Caribbean,South America,Developing regions
25,Brunei Darussalam,Asia,South-Eastern Asia,Developing regions
26,Bulgaria,Europe,Eastern Europe,Developed regions
27,Burkina Faso,Africa,Western Africa,Developing regions
28,Burundi,Africa,Eastern Africa,Developing regions
29,Cabo Verde,Africa,Western Africa,Developing regions
30,Cambodia,Asia,South-Eastern Asia,Developing regions
31,Cameroon,Africa,Middle Africa,Developing regions
32,Canada,Northern America,Northern America,Developed regions
33,Central African Republic,Africa,Middle Africa,Developing regions
34,Chad,Africa,Middle Africa,Developing regions
35,Chile,Latin America and the Caribbean,South America,Developing regions
36,China,Asia,Eastern Asia,Developing regions
37,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Developing regions
38,"China, Macao Special Administrative Region",Asia,Eastern Asia,Developing regions
39,Colombia,Latin America and the Caribbean,South America,Developing regions
40,Comoros,Africa,Eastern Africa,Developing regions
41,Congo,Africa,Middle Africa,Developing regions
42,Costa Rica,Latin America and the Caribbean,Central America,Developing regions
